DeliveryID,OrderID,DeliveryDate,DeliveryCost,DeliveryStatus
,54-366-6861,2020-03-26,60.51,
,63-761-3686,2020-07-17,96.75,
,65-351-6434,2020-04-24,36.37,
,36-917-2834,2020-04-13,5.49,
,86-114-9232,2021-02-02,63.64,
,67-709-5581,2020-01-13,5.04,
,80-076-4032,2019-10-26,56.95,
,56-271-4185,2020-12-27,91.05,
,43-052-9931,2021-04-16,86.28,
,15-663-0481,2021-11-13,31.34,
,23-582-1221,2019-11-28,85.08,
,61-057-1975,2021-04-17,25.98,
,87-599-0366,2022-01-07,96.84,
,85-795-3011,2020-07-05,31.22,
,08-270-7581,2020-03-17,88.76,
,05-410-4163,2021-11-27,63.21,
,82-639-1298,2022-10-14,17.25,
,81-875-5053,2019-12-03,39.3,
,69-780-6998,2022-04-06,53.56,
,45-989-0711,2019-12-29,28.6,
,10-052-8149,2020-12-30,61.97,
,87-988-3093,2021-12-15,36.98,
,04-812-8753,2021-09-28,27.07,
,56-331-9919,2020-01-05,60.52,
,35-371-2486,2020-02-04,56.51,
,24-714-2660,2020-10-11,10.69,
,00-465-7031,2022-09-03,95.63,
,01-975-7149,2020-04-19,27.41,
,92-747-8084,2020-11-06,41.35,
,81-819-6997,2022-11-19,81.65,
,48-370-5933,2021-03-12,29.39,
,87-939-7467,2022-08-31,80.78,
,20-205-9814,2020-08-25,89.49,
,37-563-3518,2019-12-16,85.67,
,35-988-0040,2022-01-24,3.41,
,60-197-5739,2021-04-04,84.09,
,36-383-1600,2020-10-09,49.69,
,61-096-3317,2021-05-06,15.9,
,30-867-3284,2022-12-19,80.86,
,29-601-2712,2021-01-25,33.7,
,28-387-3547,2022-01-07,18.6,
,33-596-6321,2020-12-05,86.02,
,48-873-2607,2022-03-12,35.33,
,46-671-2432,2021-03-18,31.82,
,67-067-9693,2019-11-12,54.59,
,94-148-7497,2022-12-30,51.93,
,90-921-1904,2021-04-17,45.57,
,87-546-5058,2022-08-31,78.35,
,25-522-2006,2021-12-28,17.19,
,69-765-1585,2021-09-08,83.86,
,17-146-9681,2020-11-08,91.47,
,76-063-7709,2022-09-01,60.4,
,39-647-4894,2021-11-26,22.02,
,84-561-9421,2021-03-21,32.74,
,08-152-8962,2021-01-02,51.13,
,83-499-1350,2022-02-20,54.68,
,39-613-0627,2020-05-12,62.4,
,56-545-1829,2020-08-26,63.51,
,42-906-2475,2021-06-02,3.76,
,90-989-2851,2020-07-17,43.56,
,17-851-5705,2022-06-10,9.37,
,20-698-8725,2021-08-24,81.98,
,62-918-2454,2021-10-05,21.45,
,09-019-6593,2022-08-28,32.78,
,73-876-5941,2022-10-22,46.02,
,05-825-9260,2021-04-25,95.19,
,55-263-8669,2021-06-24,31.52,
,75-655-7346,2020-05-21,55.26,
,23-760-0421,2020-05-06,82.34,
,02-938-1657,2020-01-10,48.78,
,00-669-6040,2021-10-21,29.71,
,58-064-3049,2021-05-15,48.52,
,30-969-9125,2021-02-28,26.73,
,89-262-2574,2021-03-27,19.95,
,56-933-2115,2021-07-14,22.75,
,14-210-2413,2021-01-13,22.4,
,51-322-7429,2021-07-07,65.44,
,57-755-0191,2022-02-13,55.93,
,49-841-5624,2021-04-07,45.3,
,58-287-7773,2020-09-25,7.25,
,91-284-4644,2022-06-11,69.28,
,49-366-5985,2021-06-22,17.37,
,40-107-4974,2022-07-01,15.72,
,46-301-6761,2021-03-22,71.12,
,02-266-1313,2021-06-24,9.94,
,60-270-8291,2021-04-19,4.27,
,68-226-7897,2022-07-03,64.77,
,69-624-5454,2022-07-19,77.22,
,90-389-3298,2021-06-08,29.57,
,84-017-7714,2022-02-22,71.1,
,36-779-8330,2021-11-05,30.69,
,89-464-8624,2022-04-15,5.97,
,14-224-3137,2020-02-10,64.97,
,30-148-2955,2021-07-30,83.78,
,65-301-1388,2021-01-01,28.9,
,55-734-7101,2022-04-28,4.52,
,92-838-7961,2021-08-14,47.22,
,46-715-1183,2020-09-30,60.19,
,64-569-9390,2022-12-08,13.63,
,92-282-7155,2021-12-10,22.46,
,31-576-8678,2022-09-30,92.87,
,86-581-4964,2020-10-31,76.56,
,56-840-9304,2019-11-10,16,
,52-071-2704,2021-01-18,16.17,
,80-215-3898,2022-01-12,74.87,
,44-357-1100,2022-11-12,65.51,
,22-904-5860,2020-04-27,4.66,
,07-113-3748,2022-10-31,49.98,
,24-998-9967,2021-01-19,65.47,
,80-923-1183,2022-10-03,70.45,
,10-390-3471,2021-12-14,44.7,
,28-608-5137,2022-09-14,63.85,
,12-837-0577,2019-12-02,27.86,
,25-485-3794,2022-11-21,52.95,
,78-407-9810,2020-03-18,92.87,
,57-417-7291,2022-09-04,43.79,
,27-077-0389,2021-03-27,24.52,
,31-607-0351,2020-04-09,45.83,
,15-667-9235,2022-07-10,79.34,
,76-705-8000,2021-09-23,1.65,
,97-507-9861,2022-02-11,77.23,
,53-430-9568,2021-12-05,37.86,
,98-889-5403,2020-01-19,84.98,
,12-128-2576,2021-10-12,98.05,
,03-825-5219,2020-04-04,71.27,
,78-806-0853,2022-03-12,62.6,
,39-843-1059,2022-08-06,19.09,
,70-424-5723,2022-07-17,29.33,
,34-629-9123,2021-11-15,81.01,
,52-984-2592,2022-05-29,93.41,
,01-423-8434,2021-04-22,75.6,
,31-340-1373,2020-10-01,25.49,
,43-009-8040,2021-07-16,61.92,
,84-854-1349,2020-08-12,91.86,
,46-969-1933,2020-11-04,34.87,
,86-161-8508,2021-04-25,88.17,
,69-607-3610,2021-03-30,37.78,
,51-955-2727,2021-12-24,89.59,
,40-192-8164,2022-05-14,47.78,
,53-585-4586,2022-06-19,58.92,
