OrderID,MenuItemID,Quantity
54-366-6861,02-000-01,1
54-366-6861,01-000-01,1
54-366-6861,03-000-01,1
54-366-6861,00-000-01,1
54-366-6861,04-000-01,1
63-761-3686,02-000-02,1
63-761-3686,01-000-02,1
63-761-3686,03-000-02,1
63-761-3686,00-000-02,1
63-761-3686,04-000-02,1
65-351-6434,02-000-03,1
65-351-6434,01-000-03,1
65-351-6434,03-000-03,1
65-351-6434,00-000-03,1
65-351-6434,04-000-03,1
36-917-2834,02-000-04,1
36-917-2834,01-000-04,1
36-917-2834,03-000-04,1
36-917-2834,00-000-04,1
36-917-2834,04-000-04,1
86-114-9232,02-000-05,1
86-114-9232,01-000-05,1
86-114-9232,03-000-05,1
86-114-9232,00-000-05,1
86-114-9232,04-000-05,1
67-709-5581,01-000-06,1
67-709-5581,03-000-06,1
67-709-5581,00-000-06,1
67-709-5581,04-000-06,1
80-076-4032,02-000-01,1
80-076-4032,01-000-01,1
80-076-4032,03-000-01,1
80-076-4032,00-000-01,1
80-076-4032,04-000-01,1
56-271-4185,02-000-02,1
56-271-4185,01-000-02,1
56-271-4185,03-000-02,1
56-271-4185,00-000-02,1
56-271-4185,04-000-02,1
43-052-9931,02-000-03,1
43-052-9931,01-000-03,1
43-052-9931,03-000-03,1
43-052-9931,00-000-03,1
43-052-9931,04-000-03,1
15-663-0481,02-000-04,1
15-663-0481,01-000-04,1
15-663-0481,03-000-04,1
15-663-0481,00-000-04,1
15-663-0481,04-000-04,1
23-582-1221,02-000-05,1
23-582-1221,01-000-05,1
23-582-1221,03-000-05,1
23-582-1221,00-000-05,1
23-582-1221,04-000-05,1
61-057-1975,01-000-06,1
61-057-1975,03-000-06,1
61-057-1975,00-000-06,1
61-057-1975,04-000-06,1
87-599-0366,02-000-01,1
87-599-0366,01-000-01,1
87-599-0366,03-000-01,1
87-599-0366,00-000-01,1
87-599-0366,04-000-01,1
85-795-3011,02-000-02,1
85-795-3011,01-000-02,1
85-795-3011,03-000-02,1
85-795-3011,00-000-02,1
85-795-3011,04-000-02,1
08-270-7581,02-000-03,1
08-270-7581,01-000-03,1
08-270-7581,03-000-03,1
08-270-7581,00-000-03,1
08-270-7581,04-000-03,1
05-410-4163,02-000-04,1
05-410-4163,01-000-04,1
05-410-4163,03-000-04,1
05-410-4163,00-000-04,1
05-410-4163,04-000-04,1
82-639-1298,02-000-05,1
82-639-1298,01-000-05,1
82-639-1298,03-000-05,1
82-639-1298,00-000-05,1
82-639-1298,04-000-05,1
81-875-5053,01-000-06,1
81-875-5053,03-000-06,1
81-875-5053,00-000-06,1
81-875-5053,04-000-06,1
69-780-6998,02-000-01,1
69-780-6998,01-000-01,1
69-780-6998,03-000-01,1
69-780-6998,00-000-01,1
69-780-6998,04-000-01,1
45-989-0711,02-000-02,1
45-989-0711,01-000-01,1
45-989-0711,03-000-02,1
45-989-0711,00-000-02,1
45-989-0711,04-000-02,1
10-052-8149,02-000-03,1
10-052-8149,01-000-02,1
10-052-8149,03-000-03,1
10-052-8149,00-000-03,1
10-052-8149,04-000-03,1
87-988-3093,02-000-04,1
87-988-3093,01-000-03,1
87-988-3093,03-000-04,1
87-988-3093,00-000-04,1
87-988-3093,04-000-04,1
04-812-8753,02-000-05,1
04-812-8753,01-000-04,1
04-812-8753,03-000-05,1
04-812-8753,00-000-05,1
04-812-8753,04-000-05,1
56-331-9919,01-000-05,1
56-331-9919,03-000-06,1
56-331-9919,00-000-06,1
56-331-9919,04-000-06,1
35-371-2486,02-000-01,1
35-371-2486,01-000-06,1
35-371-2486,03-000-01,1
35-371-2486,00-000-01,1
35-371-2486,04-000-01,1
24-714-2660,02-000-02,1
24-714-2660,01-000-01,1
24-714-2660,03-000-02,1
24-714-2660,00-000-02,1
24-714-2660,04-000-02,1
00-465-7031,02-000-03,1
00-465-7031,01-000-02,1
00-465-7031,03-000-03,1
00-465-7031,00-000-03,1
00-465-7031,04-000-03,1
01-975-7149,02-000-04,1
01-975-7149,01-000-03,1
01-975-7149,03-000-04,1
01-975-7149,00-000-04,1
01-975-7149,04-000-04,1
92-747-8084,02-000-05,1
92-747-8084,01-000-04,1
92-747-8084,03-000-05,1
92-747-8084,00-000-05,1
92-747-8084,04-000-05,1
81-819-6997,01-000-05,1
81-819-6997,03-000-06,1
81-819-6997,00-000-06,1
81-819-6997,04-000-06,1
48-370-5933,02-000-01,1
48-370-5933,01-000-06,1
48-370-5933,03-000-01,1
48-370-5933,00-000-01,1
48-370-5933,04-000-01,1
87-939-7467,02-000-02,1
87-939-7467,01-000-01,1
87-939-7467,03-000-02,1
87-939-7467,00-000-02,1
87-939-7467,04-000-02,1
20-205-9814,02-000-03,1
20-205-9814,01-000-02,1
20-205-9814,03-000-03,1
20-205-9814,00-000-03,1
20-205-9814,04-000-03,1
37-563-3518,02-000-04,1
37-563-3518,01-000-03,1
37-563-3518,03-000-04,1
37-563-3518,00-000-04,1
37-563-3518,04-000-04,1
35-988-0040,02-000-05,1
35-988-0040,01-000-04,1
35-988-0040,03-000-05,1
35-988-0040,00-000-05,1
35-988-0040,04-000-05,1
60-197-5739,01-000-05,1
60-197-5739,03-000-06,1
60-197-5739,00-000-06,1
60-197-5739,04-000-06,1
36-383-1600,02-000-01,1
36-383-1600,01-000-06,1
36-383-1600,03-000-01,1
36-383-1600,00-000-01,1
36-383-1600,04-000-01,1
61-096-3317,02-000-02,1
61-096-3317,01-000-01,1
61-096-3317,03-000-02,1
61-096-3317,00-000-02,1
61-096-3317,04-000-02,1
30-867-3284,02-000-03,1
30-867-3284,01-000-01,1
30-867-3284,03-000-03,1
30-867-3284,00-000-03,1
30-867-3284,04-000-03,1
29-601-2712,02-000-04,1
29-601-2712,01-000-02,1
29-601-2712,03-000-04,1
29-601-2712,00-000-04,1
29-601-2712,04-000-04,1
28-387-3547,02-000-05,1
28-387-3547,01-000-03,1
28-387-3547,03-000-05,1
28-387-3547,00-000-05,1
28-387-3547,04-000-05,1
33-596-6321,01-000-04,1
33-596-6321,03-000-06,1
33-596-6321,00-000-06,1
33-596-6321,04-000-06,1
48-873-2607,02-000-01,1
48-873-2607,01-000-05,1
48-873-2607,03-000-01,1
48-873-2607,00-000-01,1
48-873-2607,04-000-01,1
46-671-2432,02-000-02,1
46-671-2432,01-000-06,1
46-671-2432,03-000-02,1
46-671-2432,00-000-02,1
46-671-2432,04-000-02,1
67-067-9693,02-000-03,1
67-067-9693,01-000-01,1
67-067-9693,03-000-03,1
67-067-9693,00-000-03,1
67-067-9693,04-000-03,1
94-148-7497,02-000-04,1
94-148-7497,01-000-02,1
94-148-7497,03-000-04,1
94-148-7497,00-000-04,1
94-148-7497,04-000-04,1
90-921-1904,02-000-05,1
90-921-1904,01-000-03,1
90-921-1904,03-000-05,1
90-921-1904,00-000-05,1
90-921-1904,04-000-05,1
87-546-5058,01-000-04,1
87-546-5058,03-000-06,1
87-546-5058,00-000-06,1
87-546-5058,04-000-06,1
