OrderID,CustomerID,OrderDate,ItemQuantity,TotalPrice
54-366-6861,72-055-7985,2020-06-15,2,187.5
63-761-3686,65-353-0657,2020-08-25,1,352.5
65-351-6434,90-876-6799,2021-08-17,3,112.5
36-917-2834,73-873-4827,2021-08-14,3,330
86-114-9232,80-927-5246,2020-12-20,2,480
67-709-5581,77-111-2020,2020-03-01,1,315
80-076-4032,10-341-4047,2021-10-04,2,465
56-271-4185,83-800-4789,2021-10-09,3,337.5
43-052-9931,89-896-4591,2021-12-27,2,285
15-663-0481,21-282-1343,2020-03-05,1,147
23-582-1221,04-699-2162,2019-07-20,3,252.405
61-057-1975,72-013-3529,2022-06-26,3,152.4
87-599-0366,09-688-8521,2020-12-03,2,139.695
85-795-3011,08-390-4691,2022-04-13,1,66.855
08-270-7581,56-479-7571,2020-08-22,2,137.76
05-410-4163,75-558-6855,2020-09-30,3,199.755
82-639-1298,09-710-7305,2019-09-04,2,78.12
81-875-5053,81-678-3234,2021-04-29,1,125.985
69-780-6998,83-988-2186,2020-04-14,3,104.07
45-989-0711,66-386-4902,2020-04-24,3,179.7
10-052-8149,37-285-0504,2019-09-30,2,187.5
87-988-3093,07-111-7669,2021-06-08,1,352.5
04-812-8753,84-136-7752,2020-06-01,2,112.5
56-331-9919,72-417-9175,2021-11-03,3,330
35-371-2486,79-082-9805,2020-02-02,2,480
24-714-2660,24-545-1124,2019-09-13,1,315
00-465-7031,84-300-6499,2020-08-25,3,465
01-975-7149,93-913-0650,2021-04-22,3,337.5
92-747-8084,91-251-5721,2019-08-09,2,285
81-819-6997,04-960-9928,2022-04-12,1,147
48-370-5933,35-042-6593,2022-01-28,2,252.405
87-939-7467,45-879-0850,2021-04-02,3,152.4
20-205-9814,78-492-1244,2021-11-23,2,139.695
37-563-3518,87-172-1004,2022-04-05,1,66.855
35-988-0040,55-516-2272,2019-08-10,3,137.76
60-197-5739,79-227-9821,2022-02-27,3,199.755
36-383-1600,87-811-2475,2019-08-08,2,78.12
61-096-3317,97-003-2495,2022-05-04,1,125.985
30-867-3284,26-631-4044,2020-10-05,2,104.07
29-601-2712,07-925-9556,2021-01-27,3,179.7
28-387-3547,18-296-6063,2019-08-14,2,187.5
33-596-6321,26-237-6257,2021-11-25,1,352.5
48-873-2607,77-064-4656,2019-09-29,3,112.5
46-671-2432,29-631-4932,2022-04-13,3,330
67-067-9693,04-268-9065,2020-12-10,2,480
94-148-7497,06-545-4037,2022-11-19,1,315
90-921-1904,82-278-5664,2021-08-16,2,465
87-546-5058,19-112-3031,2021-06-13,3,337.5
25-522-2006,58-749-9630,2021-02-02,2,285
69-765-1585,60-238-7059,2022-03-07,1,147
17-146-9681,03-575-7094,2022-12-02,3,252.405
76-063-7709,83-465-8495,2019-12-16,3,186.93
39-647-4894,97-122-0077,2022-05-27,2,216.135
84-561-9421,44-106-8726,2020-03-29,1,152.4
08-152-8962,75-652-8475,2021-01-12,2,139.695
83-499-1350,66-683-1761,2022-08-12,3,66.855
39-613-0627,18-238-2784,2022-03-27,2,137.76
56-545-1829,14-427-0652,2022-02-15,1,199.755
42-906-2475,96-883-5571,2021-10-11,3,78.12
90-989-2851,59-450-2625,2020-08-24,3,125.985
17-851-5705,17-237-9919,2021-06-17,2,104.07
20-698-8725,89-302-9477,2021-01-12,1,179.7
62-918-2454,30-395-2269,2021-12-03,2,187.5
09-019-6593,60-742-1416,2019-11-03,3,352.5
73-876-5941,42-286-4150,2019-07-03,2,112.5
05-825-9260,36-854-2570,2021-10-09,1,330
55-263-8669,00-988-1489,2021-09-06,3,480
75-655-7346,80-467-4735,2020-08-30,3,315
23-760-0421,04-049-1006,2019-08-05,2,465
02-938-1657,25-492-4931,2022-10-16,1,337.5
00-669-6040,38-206-8901,2021-12-19,2,285
58-064-3049,93-710-1150,2019-08-15,3,147
30-969-9125,79-752-9044,2020-05-28,2,252.405
89-262-2574,94-829-5714,2019-12-11,1,186.93
56-933-2115,17-162-2135,2022-05-15,3,216.135
14-210-2413,08-581-0238,2021-06-06,3,152.4
51-322-7429,51-824-3545,2021-04-28,2,139.695
57-755-0191,03-133-1843,2022-01-22,1,66.855
49-841-5624,52-259-8758,2021-08-15,2,137.76
58-287-7773,22-744-2112,2019-07-17,3,199.755
91-284-4644,54-926-6336,2022-08-10,2,78.12
49-366-5985,38-254-0934,2021-01-08,1,125.985
40-107-4974,72-486-1808,2022-07-06,3,104.07
46-301-6761,40-931-4451,2020-07-01,3,179.7
02-266-1313,81-286-3465,2022-08-19,2,187.5
60-270-8291,42-037-9687,2020-11-20,1,352.5
68-226-7897,09-427-8083,2020-12-14,2,112.5
69-624-5454,73-000-6730,2019-10-30,3,330
90-389-3298,24-902-5422,2022-08-24,2,480
84-017-7714,38-777-7517,2020-02-22,1,315
36-779-8330,45-670-3073,2019-11-01,3,465
89-464-8624,22-817-6388,2019-09-13,3,337.5
14-224-3137,30-882-6768,2022-08-15,2,285
30-148-2955,80-373-3482,2019-11-02,1,147
65-301-1388,19-175-1000,2022-05-05,2,252.405
55-734-7101,27-350-6986,2022-02-20,3,186.93
92-838-7961,44-929-7305,2021-04-20,2,216.135
46-715-1183,41-635-6237,2021-01-22,1,152.4
64-569-9390,00-381-6823,2021-12-12,3,139.695
92-282-7155,59-261-5057,2020-02-28,3,66.855
31-576-8678,13-132-4970,2022-06-05,2,137.76
86-581-4964,78-150-8068,2021-06-19,1,199.755
56-840-9304,26-834-8571,2019-10-14,2,78.12
52-071-2704,80-644-1720,2022-08-11,3,125.985
80-215-3898,66-365-0560,2021-12-21,2,104.07
44-357-1100,73-849-7161,2020-02-18,1,179.7
22-904-5860,96-606-2380,2020-02-26,3,187.5
07-113-3748,82-632-3278,2022-12-13,3,352.5
24-998-9967,88-786-4775,2021-12-30,2,112.5
80-923-1183,27-255-5518,2021-05-07,1,330
10-390-3471,55-534-3489,2019-09-17,2,480
28-608-5137,91-467-3717,2020-03-10,3,315
12-837-0577,72-701-8397,2021-12-29,2,465
25-485-3794,93-083-1812,2021-05-07,1,337.5
78-407-9810,89-643-5055,2022-09-19,3,285
57-417-7291,60-477-3944,2022-07-17,3,147
27-077-0389,91-616-5387,2021-02-03,2,252.405
31-607-0351,62-404-0979,2021-12-13,1,186.93
15-667-9235,30-459-4522,2022-01-21,2,216.135
76-705-8000,73-981-1213,2022-06-14,3,152.4
97-507-9861,86-200-6226,2020-12-24,2,139.695
53-430-9568,12-210-8916,2019-11-20,1,66.855
98-889-5403,09-129-7277,2020-01-17,3,137.76
12-128-2576,17-656-8981,2021-10-03,3,199.755
03-825-5219,36-854-2948,2020-04-29,2,78.12
78-806-0853,83-486-4557,2020-06-10,1,125.985
39-843-1059,71-234-5179,2020-06-03,2,104.07
70-424-5723,81-515-1278,2022-08-02,3,179.7
34-629-9123,53-839-6279,2021-08-07,2,187.5
52-984-2592,49-536-9801,2020-08-15,1,352.5
01-423-8434,84-031-0794,2022-10-03,3,112.5
31-340-1373,07-457-0443,2021-09-26,3,330
43-009-8040,50-716-5754,2020-01-11,2,480
84-854-1349,83-854-5062,2021-09-01,1,315
46-969-1933,31-441-5077,2021-08-27,2,465
86-161-8508,30-668-7438,2022-08-05,3,337.5
69-607-3610,37-013-0292,2022-08-21,2,285
51-955-2727,91-982-8246,2021-05-25,1,147
