OrderID,CustomerID,OrderDate,ItemQuantity,TotalPrice
54-366-6861,72-055-7985,2020-06-15,2,187.50
63-761-3686,65-353-0657,2020-08-25,1,352.50
65-351-6434,90-876-6799,2021-08-17,3,112.50
36-917-2834,73-873-4827,2021-08-14,3,330.00
86-114-9232,80-927-5246,2020-12-20,2,480.00
67-709-5581,77-111-2020,2020-03-01,1,315.00
80-076-4032,10-341-4047,2021-10-04,2,465.00
56-271-4185,83-800-4789,2021-10-09,3,337.50
43-052-9931,89-896-4591,2021-12-27,2,285.00
15-663-0481,21-282-1343,2020-03-05,1,147.00
23-582-1221,04-699-2162,2019-07-20,3,252.41
61-057-1975,72-013-3529,2022-06-26,3,152.40
87-599-0366,09-688-8521,2020-12-03,2,139.70
85-795-3011,08-390-4691,2022-04-13,1,66.86
08-270-7581,56-479-7571,2020-08-22,2,137.76
05-410-4163,75-558-6855,2020-09-30,3,199.76
82-639-1298,09-710-7305,2019-09-04,2,78.12
81-875-5053,81-678-3234,2021-04-29,1,125.99
69-780-6998,83-988-2186,2020-04-14,3,104.07
45-989-0711,66-386-4902,2020-04-24,3,179.70
10-052-8149,37-285-0504,2019-09-30,2,187.50
87-988-3093,07-111-7669,2021-06-08,1,352.50
04-812-8753,84-136-7752,2020-06-01,2,112.50
56-331-9919,72-417-9175,2021-11-03,3,330.00
35-371-2486,79-082-9805,2020-02-02,2,480.00
24-714-2660,24-545-1124,2019-09-13,1,315.00
00-465-7031,84-300-6499,2020-08-25,3,465.00
01-975-7149,93-913-0650,2021-04-22,3,337.50
92-747-8084,91-251-5721,2019-08-09,2,285.00
81-819-6997,04-960-9928,2022-04-12,1,147.00
48-370-5933,35-042-6593,2022-01-28,2,252.41
87-939-7467,45-879-0850,2021-04-02,3,152.40
20-205-9814,78-492-1244,2021-11-23,2,139.70
37-563-3518,87-172-1004,2022-04-05,1,66.86
35-988-0040,55-516-2272,2019-08-10,3,137.76
60-197-5739,79-227-9821,2022-02-27,3,199.76
36-383-1600,87-811-2475,2019-08-08,2,78.12
61-096-3317,97-003-2495,2022-05-04,1,125.99
30-867-3284,26-631-4044,2020-10-05,2,104.07
29-601-2712,07-925-9556,2021-01-27,3,179.70
28-387-3547,18-296-6063,2019-08-14,2,187.50
33-596-6321,26-237-6257,2021-11-25,1,352.50
48-873-2607,77-064-4656,2019-09-29,3,112.50
46-671-2432,29-631-4932,2022-04-13,3,330.00
67-067-9693,04-268-9065,2020-12-10,2,480.00
94-148-7497,06-545-4037,2022-11-19,1,315.00
90-921-1904,82-278-5664,2021-08-16,2,465.00
87-546-5058,19-112-3031,2021-06-13,3,337.50
25-522-2006,58-749-9630,2021-02-02,2,285.00
69-765-1585,60-238-7059,2022-03-07,1,147.00
17-146-9681,03-575-7094,2022-12-02,3,252.41
76-063-7709,83-465-8495,2019-12-16,3,186.93
39-647-4894,97-122-0077,2022-05-27,2,216.14
84-561-9421,44-106-8726,2020-03-29,1,152.40
08-152-8962,75-652-8475,2021-01-12,2,139.70
83-499-1350,66-683-1761,2022-08-12,3,66.86
39-613-0627,18-238-2784,2022-03-27,2,137.76
56-545-1829,14-427-0652,2022-02-15,1,199.76
42-906-2475,96-883-5571,2021-10-11,3,78.12
90-989-2851,59-450-2625,2020-08-24,3,125.99
17-851-5705,17-237-9919,2021-06-17,2,104.07
20-698-8725,89-302-9477,2021-01-12,1,179.70
62-918-2454,30-395-2269,2021-12-03,2,187.50
09-019-6593,60-742-1416,2019-11-03,3,352.50
73-876-5941,42-286-4150,2019-07-03,2,112.50
05-825-9260,36-854-2570,2021-10-09,1,330.00
55-263-8669,00-988-1489,2021-09-06,3,480.00
75-655-7346,80-467-4735,2020-08-30,3,315.00
23-760-0421,04-049-1006,2019-08-05,2,465.00
02-938-1657,25-492-4931,2022-10-16,1,337.50
00-669-6040,38-206-8901,2021-12-19,2,285.00
58-064-3049,93-710-1150,2019-08-15,3,147.00
30-969-9125,79-752-9044,2020-05-28,2,252.41
89-262-2574,94-829-5714,2019-12-11,1,186.93
56-933-2115,17-162-2135,2022-05-15,3,216.14
14-210-2413,08-581-0238,2021-06-06,3,152.40
51-322-7429,51-824-3545,2021-04-28,2,139.70
57-755-0191,03-133-1843,2022-01-22,1,66.86
49-841-5624,52-259-8758,2021-08-15,2,137.76
58-287-7773,22-744-2112,2019-07-17,3,199.76
91-284-4644,54-926-6336,2022-08-10,2,78.12
49-366-5985,38-254-0934,2021-01-08,1,125.99
40-107-4974,72-486-1808,2022-07-06,3,104.07
46-301-6761,40-931-4451,2020-07-01,3,179.70
02-266-1313,81-286-3465,2022-08-19,2,187.50
60-270-8291,42-037-9687,2020-11-20,1,352.50
68-226-7897,09-427-8083,2020-12-14,2,112.50
69-624-5454,73-000-6730,2019-10-30,3,330.00
90-389-3298,24-902-5422,2022-08-24,2,480.00
84-017-7714,38-777-7517,2020-02-22,1,315.00
36-779-8330,45-670-3073,2019-11-01,3,465.00
89-464-8624,22-817-6388,2019-09-13,3,337.50
14-224-3137,30-882-6768,2022-08-15,2,285.00
30-148-2955,80-373-3482,2019-11-02,1,147.00
65-301-1388,19-175-1000,2022-05-05,2,252.41
55-734-7101,27-350-6986,2022-02-20,3,186.93
92-838-7961,44-929-7305,2021-04-20,2,216.14
46-715-1183,41-635-6237,2021-01-22,1,152.40
64-569-9390,00-381-6823,2021-12-12,3,139.70
92-282-7155,59-261-5057,2020-02-28,3,66.86
31-576-8678,13-132-4970,2022-06-05,2,137.76
86-581-4964,78-150-8068,2021-06-19,1,199.76
56-840-9304,26-834-8571,2019-10-14,2,78.12
52-071-2704,80-644-1720,2022-08-11,3,125.99
80-215-3898,66-365-0560,2021-12-21,2,104.07
44-357-1100,73-849-7161,2020-02-18,1,179.70
22-904-5860,96-606-2380,2020-02-26,3,187.50
07-113-3748,82-632-3278,2022-12-13,3,352.50
24-998-9967,88-786-4775,2021-12-30,2,112.50
80-923-1183,27-255-5518,2021-05-07,1,330.00
10-390-3471,55-534-3489,2019-09-17,2,480.00
28-608-5137,91-467-3717,2020-03-10,3,315.00
12-837-0577,72-701-8397,2021-12-29,2,465.00
25-485-3794,93-083-1812,2021-05-07,1,337.50
78-407-9810,89-643-5055,2022-09-19,3,285.00
57-417-7291,60-477-3944,2022-07-17,3,147.00
27-077-0389,91-616-5387,2021-02-03,2,252.41
31-607-0351,62-404-0979,2021-12-13,1,186.93
15-667-9235,30-459-4522,2022-01-21,2,216.14
76-705-8000,73-981-1213,2022-06-14,3,152.40
97-507-9861,86-200-6226,2020-12-24,2,139.70
53-430-9568,12-210-8916,2019-11-20,1,66.86
98-889-5403,09-129-7277,2020-01-17,3,137.76
12-128-2576,17-656-8981,2021-10-03,3,199.76
03-825-5219,36-854-2948,2020-04-29,2,78.12
78-806-0853,83-486-4557,2020-06-10,1,125.99
39-843-1059,71-234-5179,2020-06-03,2,104.07
70-424-5723,81-515-1278,2022-08-02,3,179.70
34-629-9123,53-839-6279,2021-08-07,2,187.50
52-984-2592,49-536-9801,2020-08-15,1,352.50
01-423-8434,84-031-0794,2022-10-03,3,112.50
31-340-1373,07-457-0443,2021-09-26,3,330.00
43-009-8040,50-716-5754,2020-01-11,2,480.00
84-854-1349,83-854-5062,2021-09-01,1,315.00
46-969-1933,31-441-5077,2021-08-27,2,465.00
86-161-8508,30-668-7438,2022-08-05,3,337.50
69-607-3610,37-013-0292,2022-08-21,2,285.00
51-955-2727,91-982-8246,2021-05-25,1,147.00
40-192-8164,73-965-2661,2021-08-11,3,252.41
53-585-4586,65-465-1137,2020-07-06,3,186.93
56-076-6137,46-957-2549,2020-08-13,2,216.14
06-457-9925,80-328-3018,2020-12-22,1,152.40
51-007-0849,19-745-7544,2019-09-22,2,139.70
64-446-6092,21-950-4765,2021-02-04,3,66.86
62-768-3976,37-402-2949,2022-10-10,2,137.76
45-594-5624,24-909-6177,2022-07-24,1,199.76
46-892-9399,58-570-3984,2021-10-14,3,78.12
74-302-4817,65-987-4463,2022-12-09,3,125.99
07-116-3515,21-903-1493,2020-10-01,2,104.07
04-743-8019,80-273-1248,2020-02-12,1,179.70
09-896-5300,10-502-1445,2021-09-19,2,187.50
36-816-5383,98-956-4430,2022-09-27,3,352.50
76-380-8355,58-165-3429,2020-02-08,2,112.50
19-953-6477,99-033-8011,2019-08-03,1,330.00
61-841-5883,44-048-2898,2022-11-14,3,480.00
83-924-4913,92-325-4771,2019-09-14,3,315.00
36-480-1277,16-968-9858,2019-11-24,2,465.00
76-176-1093,96-909-7950,2021-05-07,1,337.50
63-204-3800,75-905-7326,2019-08-04,2,285.00
13-018-1111,40-571-6226,2021-06-26,3,147.00
77-561-4347,10-921-5699,2022-05-26,2,252.41
43-238-0006,37-372-9415,2020-11-26,1,186.93
59-380-4206,14-852-2100,2020-09-30,3,216.14
21-039-2999,82-288-9392,2022-02-14,3,152.40
28-882-5933,56-326-1556,2019-12-22,2,139.70
65-080-5283,85-368-5194,2021-10-24,1,66.86
74-564-7314,09-888-3706,2019-12-20,2,137.76
45-033-9684,22-453-6603,2021-04-29,3,199.76
76-855-7164,59-998-9285,2020-06-11,2,78.12
28-703-1952,31-307-2307,2021-03-14,1,125.99
29-773-5797,73-427-9774,2021-09-15,3,104.07
19-768-2646,41-082-7417,2021-05-21,3,179.70
08-659-6030,68-700-9823,2020-08-16,2,187.50
96-993-3962,03-051-7819,2021-04-08,1,352.50
83-220-9837,57-301-6790,2020-10-24,2,112.50
31-121-8822,94-865-3366,2021-02-24,3,330.00
65-311-3002,00-090-3491,2019-08-26,2,480.00
50-817-8023,77-591-2181,2020-07-14,1,315.00
11-397-2150,99-109-2353,2020-07-15,3,465.00
07-322-4153,73-175-9496,2020-03-05,3,337.50
84-724-9712,90-491-1239,2022-06-07,2,285.00
75-362-1645,63-604-3193,2021-09-10,1,147.00
76-627-0236,02-974-0997,2020-09-22,2,252.41
40-168-4233,84-403-5215,2020-09-22,3,186.93
25-850-5723,75-436-9725,2020-08-05,2,216.14
85-463-0651,10-972-8681,2020-01-06,1,152.40
64-141-5718,11-127-1413,2020-08-01,3,139.70
35-427-7418,38-352-8049,2020-04-26,3,66.86
12-648-4718,57-611-6010,2020-11-01,2,137.76
37-765-3279,73-948-0480,2022-06-03,1,199.76
